Report#,RecordDate,OfficerName,Status,Spec. Location,GroupName,ManagerNotified,ReportDate,IncidentOccurred,MethodOfReporting,RelatedEvent,Synopsis,Country,Region/Province,City/Town/Municipality,Category,Type
2015-000146,2015-08-16 09:29:00,"CAIRO, OPSCENTER",Report Sent to Review,WOOL FACTORY,EGYPT,,2015-08-16 00:00:00,2015-08-16 00:00:00,OPEN SOURCE (ONLINE),,"A massive fire in wool factory in Foah Matoubas Road , Kafr El Sheikh Governorate.",EGYPT,KAFR EL-SHEIKH,FUWA,HAZARD,NA
2015-000286,2015-08-28 14:32:00,"BASURTO, JANET",Report Sent to Review,RAFAH AND SHEIKH ZUWEID,EGYPT,,2015-08-21 00:00:00,2015-08-21 00:00:00,OPEN SOURCE (ONLINE),,"According to Egyptian media outlets, Egyptian security forces carried out multiple security operations south of Sheikh Zuweid and Rafah. According to security sources 3 militants were killed and 8 were arrested. No independent confirmation of death toll",EGYPT,NORTH SINAI,RAFAH,ARMED CONFLICT,MILITARY OFFENSIVE
2015-000069,2015-07-22 00:32:00,"CAIRO, OPSCENTER",Report Sent to Review,SHAHIBA AREA,EGYPT,,2015-07-22 00:00:00,2015-07-22 00:00:00,OPEN SOURCE (ONLINE),,"A massive fire in closed shops at Shahiba area, Damietta Governorate. Firemen controlled it. Unknown Reasons.",EGYPT,DAMIETTA,NA,HAZARD,BUILDING COLLAPSE
2015-000054,2015-07-20 10:52:00,"ROUFFAUD, LUC",Report Sent to Review,"MILITARY CAMP, ON CAIRO-SUEZ ROAD",EGYPT,,2015-07-15 00:00:00,2015-07-15 00:00:00,OPEN SOURCE (ONLINE),,A suicide bomber drove straight into a military camp of the Egyptian army. The event reportedly took place on the Suez-Cairo road. Wilayet Sinai claimed the attack.,EGYPT,SUEZ,NA,TERRORISM,SVBIED (SUICIDE CAR BOMB)
2015-000059,2015-07-21 07:52:00,"CAIRO, OPSCENTER",Report Sent to Review,"MONSHAAT ABDULLAH VILLAGE, FAIYUM GOVERNORATE.",EGYPT,,2015-07-21 00:00:00,2015-07-21 00:00:00,OPEN SOURCE (ONLINE),,"A homemade bomb exploded near to Electricity transformer Monshaat Abdullah Village, Faiyum Governorate.",EGYPT,FAYOUM,NA,TERRORISM,NA
2015-000059,2015-07-21 07:52:00,"CAIRO, OPSCENTER",Report Sent to Review,"MONSHAAT ABDULLAH VILLAGE, FAIYUM GOVERNORATE.",EGYPT,,2015-07-21 00:00:00,2015-07-21 00:00:00,OPEN SOURCE (ONLINE),,"A homemade bomb exploded near to Electricity transformer Monshaat Abdullah Village, Faiyum Governorate.",EGYPT,FAYOUM,NA,TERRORISM,BOMBING (OTHER THAN IED)
2015-000014,2015-05-17 22:22:00,REPORT EXEC,Report Sent to Review,COURT,EGYPT,,2015-05-07 00:00:00,2015-05-07 00:00:00,,,Cairo Criminal Court sentenced on Tuesday Adel Habara to two years and Ismail Abdel Kader to one year in prison for insulting the judiciary,EGYPT,CAIRO,CAIRO,MAJOR POLITICAL EVENT,NA
2015-000058,2015-07-20 11:17:00,"ROUFFAUD, LUC",Report Sent to Review,1 MILE OFF THE COAST OF RAFAH,EGYPT,,2015-07-15 00:00:00,2015-07-15 00:00:00,,,Egyptian navy vessel targeted with Chinese-made targeted missile. ship was set afire. Islamic state claimed the attack shortly after.,EGYPT,NORTH SINAI,RAFAH,ARMED CONFLICT,ROCKET ATTACK
2015-000018,2015-05-17 22:40:00,REPORT EXEC,Report Sent to Review,ALF MASKAN,EGYPT,,2015-05-09 00:00:00,2015-05-09 00:00:00,,,Another IED was found in Alf Maskan residential area.,EGYPT,CAIRO,CAIRO,TERRORISM,EXPLOSIVES
2015-000045,2015-07-17 22:49:00,"GAMAL, ESLAM",Report Sent to Review,ROXY SQUARE,EGYPT,,2015-07-16 00:00:00,2015-07-16 00:00:00,OPEN SOURCE (ONLINE),,"A Sound Bomb exploded in Roxy Square, Cairo.",EGYPT,CAIRO,NA,TERRORISM,IED
