Report#,RecordDate,OfficerName,Status,Spec. Location,GroupName,ManagerNotified,ReportDate,IncidentOccurred,MethodOfReporting,RelatedEvent,Synopsis,Country,Region/Province,City/Town/Municipality,Category,Type
2015-000209,2015-08-27 13:38:00,"DAVIS, JERRY",Report Sent to Review,,EGYPT,,2015-08-07 00:00:00,2015-08-07 00:00:00,OPEN SOURCE (ONLINE),,Pro-MB March starting form Dar es-Salam Mosque to Maadi. No violence was witnessed.,EGYPT,CAIRO,MAADI,CIVIL UNREST,MARCH
2015-000325,2015-08-30 12:56:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-28 00:00:00,2015-08-28 00:00:00,,,A police officer was reportedly shot and killed by unidentified gunmen as he was returning from work in Tahta.,EGYPT,SOHAG,TAHTA,TERRORISM,ARMED ATTACK
2015-000245,2015-08-27 18:29:00,"BASURTO, JANET",Report Sent to Review,VILLAGE OF IDFINA,EGYPT,,2015-08-24 00:00:00,2015-08-24 00:00:00,OPEN SOURCE (ONLINE),,"Reports indicate that two policemen were killed and 25 others were injured after an IED detonated under a bus carrying police recruits. Pro-state Youm7 reported that three policemen were killed. Reports indicate that the attack was claimed by previously unknown group called ""Trustees of Beit al Maqdis""",EGYPT,BEHEIRA,NA,TERRORISM,IED
2015-000156,2015-08-18 03:03:00,"CAIRO, OPSCENTER",Report Sent to Review,,EGYPT,,2015-08-18 00:00:00,2015-08-18 00:00:00,OPEN SOURCE (ONLINE),,A Homemade Bomb exploded near to Assistant Minister of the Interior’s Office in Asyut Governorate.,EGYPT,ASYUT,NA,TERRORISM,IED
2015-000342,2015-08-30 16:22:00,"DAVIS, JERRY",Report Sent to Review,,EGYPT,,2015-08-30 00:00:00,2015-08-30 00:00:00,OPEN SOURCE (ONLINE),,Dozens attended MB protest reportedly held overnight in Alexandria's Borg al-Arab area.,EGYPT,ALEXANDRIA,BORG AL-ARAB,CIVIL UNREST,MARCH
2015-000210,2015-08-27 13:41:00,"DAVIS, JERRY",Report Sent to Review,"NAOUR VILLAGE, NORTH OF FAYOUM",EGYPT,,2015-08-07 00:00:00,2015-08-07 00:00:00,OPEN SOURCE (ONLINE),,5 militants killed in shootout with police in Fayoum Governorate. Targets of the raid were a militant cell suspected with shooting and killing the daughter of a local police commander.,EGYPT,FAYOUM,NA,SECURITY FORCES,NA
2015-000251,2015-08-27 19:05:00,"BASURTO, JANET",Report Sent to Review,NEAR LIBYAN BORDER,EGYPT,,2015-08-23 00:00:00,2015-08-23 00:00:00,OPEN SOURCE (ONLINE),,"One office was reportedly killed and two soldiers injured following clashes with gunmen traveling in five cars near the Farafra oasis. Conflicting reports have emerged regarding the identity of the gunmen, with reports claiming they are smuggled while others state they are militants.",EGYPT,NA,NA,nan,NA
2015-000320,2015-08-28 16:58:00,"SIKE, OLIVIA",Report Sent to Review,,EGYPT,,2015-08-20 00:00:00,2015-08-20 00:00:00,OPEN SOURCE (ONLINE),,Remotely detonated car bomb exploded.,EGYPT,QALYUBIA,SHUBRA EL-KHEIMA,TERRORISM,BOMBING (OTHER THAN IED)
2015-000328,2015-08-30 13:17:00,"BASURTO, JANET",Report Sent to Review,"FAQOUS, ABU HAMMAD, HUSSEINIYA, BELQAS,",EGYPT,,2015-08-28 00:00:00,2015-08-28 00:00:00,,,"MB protest started in Faqous, Abu Hammad, Husseinya, Belqas. There no reports or unrest.",EGYPT,SHARQIA,NA,CIVIL UNREST,PROTEST
2015-000212,2015-08-27 08:25:00,"CAIRO, OPSCENTER",Report Sent to Review,RING ROAD IN MONIB DIRECTION FROM MARYOTIA,EGYPT,,2015-08-27 00:00:00,2015-08-27 00:00:00,OPEN SOURCE (ONLINE),,"An accident led to Traffic jam on the Ring Road in Monib Direction from Maryotia, Giza.",EGYPT,GIZA,GIZA,CIVIL UNREST,ROAD BLOCK
2015-000269,2015-08-28 12:53:00,"DAVIS, JERRY",Report Sent to Review,"KAFR SHUKR, 50 KM NORTH OF CAIRO",EGYPT,,2015-08-14 00:00:00,2015-08-14 00:00:00,OPEN SOURCE (ONLINE),,"A police officer was killed in Kafr Shukr, 50km north of Cairo, after he stopped two unidentified men traveling on a motorcycle. The two men reportedly shot and killed the police officer.",EGYPT,CAIRO,NA,TERRORISM,SHOOTING
2015-000160,2015-08-19 07:43:00,"CAIRO, OPSCENTER",Report Sent to Review,KARM EL KAWADES AREA,EGYPT,,2015-08-19 00:00:00,2015-08-19 00:00:00,,,"Police Forces defused Four Bombs in Karm El Kawades area in Al Arish City, Sinai.",EGYPT,NORTH SINAI,EL-ARISH,TERRORISM,BOMB DISCOVERY
2015-000098,2015-08-02 14:00:00,"CAIRO, OPSCENTER",Report Sent to Review,SEEDY MUOBARAK CITY,EGYPT,,2015-08-02 00:00:00,2015-08-02 00:00:00,OPEN SOURCE (ONLINE),,"There is a Blast in water pipe in front of Seedy Muobarak City, Kafr el-Sheikh Governorate.",EGYPT,KAFR EL-SHEIKH,NA,OTHER,NA
2015-000271,2015-08-28 12:58:00,"DAVIS, JERRY",Report Sent to Review,,EGYPT,,2015-08-14 00:00:00,2015-08-14 00:00:00,OPEN SOURCE (ONLINE),,Clashes reportedly broke out between security forces and protesters in Cairo's al-Matariyya district. The clashes followed the holding of a MB protest near the Tawhid Mosque.,EGYPT,CAIRO,MATARIYYAH,CIVIL UNREST,SECURITY CLASHES
2015-000131,2015-08-11 16:52:00,"CAIRO, OPSCENTER",Report Sent to Review,6TH OF OCTOBER,EGYPT,,2015-08-09 00:00:00,2015-08-09 00:00:00,OPEN SOURCE (ONLINE),"A massive fire in Paints factory in 6th of October city, Giza.","A massive fire in Paints factory in 6th of October city, Giza.",EGYPT,GIZA,6TH OCTOBER CITY,HAZARD,BUILDING COLLAPSE
2015-000163,2015-08-19 19:43:00,"CAIRO, OPSCENTER",Report Sent to Review,THE AREA AROUND THE NATIONAL SECURITY BUILDING,EGYPT,,2015-08-20 00:00:00,2015-08-20 00:00:00,OPEN SOURCE (ONLINE),,"A massive fire in The area around the National Security building in Shubra Al Khaimah, Qalyubia Governorate.",EGYPT,QALYUBIA,SHUBRA EL-KHEIMA,HAZARD,NA
2015-000257,2015-08-27 17:19:00,"CAIRO, OPSCENTER",Report Sent to Review,ALSHAMS CLUB,EGYPT,,2015-08-27 00:00:00,2015-08-27 00:00:00,OPEN SOURCE (ONLINE),,"A massive fire beside Alshams Club At Masr Algdida , Cairo Governorate.",EGYPT,CAIRO,NA,HAZARD,NA
2015-000295,2015-08-28 15:23:00,"SIKE, OLIVIA",Report Sent to Review,,EGYPT,,2015-08-28 00:00:00,2015-08-17 00:00:00,OPEN SOURCE (ONLINE),,President Sisi controversial new 'anti-terrorism' legislation which soon be made official in Egypt's official gazette.,EGYPT,NA,NA,INFORMATIVE,CLARIFICATION
2015-000100,2015-08-03 06:11:00,"CAIRO, OPSCENTER",Report Sent to Review,AIN SUKHNA CITY,EGYPT,,2015-08-03 00:00:00,2015-08-03 00:00:00,,,"A massive fire at Emak Company for Papers at Ain Sukhna City, Suez Governorate.",EGYPT,SUEZ,NA,HAZARD,NA
2015-000200,2015-08-27 12:45:00,"DAVIS, JERRY",Report is Completed,AL-ARISH,EGYPT,,2015-08-04 00:00:00,2015-08-04 00:00:00,OPEN SOURCE (ONLINE),,Reports indicate that explosions were heard in the area east of al-Arish. Sources stated that the explosions are a result of Egyptian military airstrikes.,EGYPT,NA,NA,ARMED CONFLICT,MILITARY OFFENSIVE
2015-000234,2015-08-27 17:31:00,"BASURTO, JANET",Report Sent to Review,"MULTIPLE: BENI SUEF, GIZA, DAMIETTA",EGYPT,,2015-08-25 00:00:00,2015-08-25 00:00:00,OPEN SOURCE (ONLINE),,"Opposition media reported that at least four marches have taken place last night in Beni Suef Governorate, calling for the release of female student Isra'a Khaled, who was arrested by security forces on Jan. 20. 2015. Protests were reported in Beni Suef as well as Beba and Beni Hdeir. Other protests took place in Mansouriya area of Giza. A small motorcycle demonstration was reported in Damietta's al Basarta.",EGYPT,BENI SUEF,NA,CIVIL UNREST,PROTEST
2015-000116,2015-08-07 07:42:00,"CAIRO, OPSCENTER",Report Sent to Review,"EL HARM ST, EL HARM AREA, GIZA.",EGYPT,,2015-08-07 07:42:00,2015-08-07 00:00:00,OPEN SOURCE (ONLINE),,"Armed Clashes between Police Forces and Morsi Supporters in El Harm St, El Harm area, Giza.",EGYPT,GIZA,GIZA,ARMED CONFLICT,ETHNIC CLASHES
2015-000285,2015-08-28 14:25:00,"BASURTO, JANET",Report Sent to Review,ASHMANT,EGYPT,,2015-08-21 00:00:00,2015-08-21 00:00:00,OPEN SOURCE (ONLINE),,"Security forces are reportedly forcibly dispersing a MB protest in the village of Ashmant, north of Beni Suef.",EGYPT,BENI SUEF,NA,CIVIL UNREST,PROTEST
2015-000274,2015-08-28 13:12:00,"DAVIS, JERRY",Report Sent to Review,SOUTH OF RAFAH,EGYPT,,2015-08-14 00:00:00,2015-08-14 00:00:00,OPEN SOURCE (ONLINE),,Reports indicate that an airstrike targeted a gathering of militants in an unspecified area south of Rafah. Security sources claimed 15 militants were killed and 25 injured.,EGYPT,NORTH SINAI,RAFAH,ARMED CONFLICT,MILITARY OFFENSIVE
2015-000237,2015-08-27 17:55:00,"DAVIS, JERRY",Report Sent to Review,,EGYPT,,2015-08-11 00:00:00,2015-08-11 00:00:00,OPEN SOURCE (ONLINE),,Three 60 mm shells hit a military checkpoint near al-Arish.,EGYPT,NORTH SINAI,EL-ARISH,TERRORISM,BOMBING (OTHER THAN IED)
2015-000207,2015-08-27 13:25:00,"DAVIS, JERRY",Report Sent to Review,SOUTH OF RAFAH,EGYPT,,2015-08-06 00:00:00,2015-08-06 00:00:00,OPEN SOURCE (ONLINE),,Egyptian security forces reportedly killed five militants in Apache helicopter airstrikes south of Rafah,EGYPT,NORTH SINAI,RAFAH,ARMED CONFLICT,MILITARY OFFENSIVE
2015-000291,2015-08-28 15:04:00,"SIKE, OLIVIA",Report Sent to Review,GOVERNORATE'S HEHYA,EGYPT,,2015-08-28 00:00:00,2015-08-17 00:00:00,OPEN SOURCE (ONLINE),,IED targets electricity tower,EGYPT,SHARQIA,NA,TERRORISM,THREAT
2015-000119,2015-08-08 07:29:00,"CAIRO, OPSCENTER",Report Sent to Review,DAMOH CITY,EGYPT,,2015-08-08 00:00:00,2015-08-08 00:00:00,OPEN SOURCE (ONLINE),,"A homemade bomb exploded at Damoh City, Faiyum Governorate.",EGYPT,FAYOUM,NA,TERRORISM,BOMBING (OTHER THAN IED)
2015-000229,2015-08-27 16:43:00,"BASURTO, JANET",Report Sent to Review,SHEIKH ZUWEID - RAFAH ROAD,EGYPT,,2015-08-26 00:00:00,2015-08-26 00:00:00,OPEN SOURCE (ONLINE),,"ISIS-affiliated WS claimed it targeted a military Hummer on Sheikh Zuweid - Rafah road near the checkpoint of Sadut, using an IED. Group claimed the attack resulted in several injuries and the destruction of the vehicle.",EGYPT,NORTH SINAI,SHEIKH ZUWAYYED,TERRORISM,IED
2015-000336,2015-08-30 15:30:00,"DAVIS, JERRY",Report Sent to Review,RING ROAD IN AL-ARISH,EGYPT,,2015-08-30 00:00:00,2015-08-30 00:00:00,OPEN SOURCE (ONLINE),,An explosion was reported on al-Arish's ring road. Surroundings of the incident remain unclear at the time of writing.,EGYPT,NORTH SINAI,EL-ARISH,TERRORISM,BOMBING (OTHER THAN IED)
2015-000348,2015-08-31 10:02:00,"BASURTO, JANET",Report Sent to Review,10TH OF RAMADAN CITY,EGYPT,,2015-08-31 00:00:00,2015-08-31 00:00:00,OPEN SOURCE (ONLINE),,A police car was reportedly set ablaze after local militants threw molotov cocktails in the 10th of Ramadan city.,EGYPT,SHARQIA,NA,CRIME,ARSON
2015-000195,2015-08-27 11:49:00,"DAVIS, JERRY",Report Sent to Review,WESTERN CAIRO'S FAISLA STREET,EGYPT,,2015-08-02 00:00:00,2015-08-02 00:00:00,OPEN SOURCE (ONLINE),,"Reports indicate that a building collapsed in the Hassam Mohammed Street on Western Cairo's Faisla Street. Emergency teams at the scene, no reports of casualties.",EGYPT,NA,NA,HAZARD,NA
2015-000353,2015-09-01 02:21:00,"CAIRO, OPSCENTER",Report Sent to Review,SHOUBRA EL KHEMA,EGYPT,,2015-08-29 00:00:00,2015-08-29 00:00:00,OPEN SOURCE (ONLINE),,"A Massive fire in a Plastic Plant at Shoubra El Khema City, Qalyubia Governorate.",EGYPT,QALYUBIA,SHUBRA EL-KHEIMA,HAZARD,NA
2015-000191,2015-08-27 11:06:00,"CAIRO, OPSCENTER",Report Sent to Review,AL-SHARKIA GOVERNORATE,EGYPT,,2015-08-24 00:00:00,2015-08-24 00:00:00,,,A bomb exploded under Electric Tower and the Police security defused Three others at AL-Sharkia Governorate.,EGYPT,SHARQIA,NA,HAZARD,NA
2015-000246,2015-08-27 18:36:00,"DAVIS, JERRY",Report Sent to Review,"IZBET TAWFIK AL-HAQIM, NEAR HOSH ISSA",EGYPT,,2015-08-12 00:00:00,2015-08-12 00:00:00,OPEN SOURCE (ONLINE),,IED blast destroyed a power generator in Nile Delta causing irrigation water disruptions.,EGYPT,NA,NA,TERRORISM,IED
2015-000297,2015-08-28 15:27:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-21 00:00:00,2015-08-20 00:00:00,OPEN SOURCE (ONLINE),,"According to Egyptian Media outlets, IED exploded on railway tracks north of Zagazig.",EGYPT,SHARQIA,ZAGAZIG,TERRORISM,IED
2015-000179,2015-08-26 16:56:00,"ROUFFAUD, LUC",Report Sent to Review,GARDENS METRO STATION,EGYPT,,2015-08-03 00:00:00,2015-08-03 00:00:00,OPEN SOURCE (ONLINE),,IED discovered in a black duffel bag by security in the Gardens Metro Station in Helwan south of cairo,EGYPT,CAIRO,HELWAN,TERRORISM,BOMB DISCOVERY
2015-000213,2015-08-27 08:32:00,"DAVIS, JERRY",Report Sent to Review,,EGYPT,,2015-08-07 00:00:00,2015-08-07 00:00:00,OPEN SOURCE (ONLINE),,"MB protests in several areas of Alexandria, including the Hanovil area west of the city center, and the al-Sayuf area east of the city center. Arrests have been made.",EGYPT,ALEXANDRIA,NA,CIVIL UNREST,PROTEST
2015-000298,2015-08-28 15:27:00,"DAVIS, JERRY",Report Sent to Review,,EGYPT,,2015-08-15 00:00:00,2015-08-15 00:00:00,OPEN SOURCE (ONLINE),,Initial reports indicate that the large explosion that took place in Rafah was the result of a military strike on a home in the city.,EGYPT,NORTH SINAI,RAFAH,ARMED CONFLICT,MILITARY OFFENSIVE
2015-000222,2015-08-27 09:19:00,"DAVIS, JERRY",Report Sent to Review,ASSYUT STREET,EGYPT,,2015-08-09 00:00:00,2015-08-09 00:00:00,OPEN SOURCE (ONLINE),,2 Servicemen killed in IED attack on armored vehicle in Arish.,EGYPT,NORTH SINAI,EL-ARISH,TERRORISM,IED
2015-000150,2015-08-17 07:38:00,"CAIRO, OPSCENTER",Report Sent to Review,THE EXIT OF THE AGRICULTURAL ROAD ‘ CAIRO- BENHA” IN CAIRO.,EGYPT,,2015-08-17 00:00:00,2015-08-17 00:00:00,OPEN SOURCE (ONLINE),,There is maintenance on the Ring Road in the exit of the Agricultural Road ‘ Cairo- Benha” in Cairo. The Alternative Way :- Moassa Square Exit then Return to the Agricultural Road.,EGYPT,CAIRO,NA,CIVIL UNREST,ROAD BLOCK
2015-000154,2015-08-17 16:44:00,"CAIRO, OPSCENTER",Report Sent to Review,HIHYA,EGYPT,,2015-08-17 00:00:00,2015-08-17 00:00:00,OPEN SOURCE (ONLINE),,"A bomb exploded in Electricity Tower in Hihya City, Al Sharqia Governorate.",EGYPT,SHARQIA,HIHYA,TERRORISM,IED
2015-000345,2015-08-31 09:49:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-30 00:00:00,2015-08-30 00:00:00,OPEN SOURCE (ONLINE),,Three bombs topple electricity tower in Alexandria's Ameriya area.,EGYPT,ALEXANDRIA,AMRIYA,TERRORISM,IED
2015-000345,2015-08-31 09:49:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-30 00:00:00,2015-08-30 00:00:00,OPEN SOURCE (ONLINE),,Three bombs topple electricity tower in Alexandria's Ameriya area.,EGYPT,ALEXANDRIA,AMRIYA,TERRORISM,INFRASTRUCTURE SABOTAGE
2015-000137,2015-08-12 22:47:00,"CAIRO, OPSCENTER",Report Sent to Review,GARDEN CITY,EGYPT,,2015-08-13 00:00:00,2015-08-13 00:00:00,OPEN SOURCE (ONLINE),"A Sound Bomb exploded near Garden City , Cairo Governorate.","A Sound Bomb exploded near Garden City , Cairo Governorate.",EGYPT,CAIRO,QASR AN-NIL,TERRORISM,IED
2015-000344,2015-08-31 09:46:00,"BASURTO, JANET",Report Sent to Review,RING ROAD,EGYPT,,2015-08-30 00:00:00,2015-08-30 00:00:00,OPEN SOURCE (ONLINE),,Reports indicate an IED attack on an armored vehicle south of al Arish on the ring road. One soldier was killed.,EGYPT,NORTH SINAI,EL-ARISH,TERRORISM,IED
2015-000215,2015-08-27 08:37:00,"DAVIS, JERRY",Report Sent to Review,"ETSA, SOUTH OF FAYOUM",EGYPT,,2015-08-07 00:00:00,2015-08-07 00:00:00,OPEN SOURCE (ONLINE),,"Two electricity towers damaged by an IED in Etsa, south of Fayoum.",EGYPT,FAYOUM,NA,TERRORISM,IED
2015-000215,2015-08-27 08:37:00,"DAVIS, JERRY",Report Sent to Review,"ETSA, SOUTH OF FAYOUM",EGYPT,,2015-08-07 00:00:00,2015-08-07 00:00:00,OPEN SOURCE (ONLINE),,"Two electricity towers damaged by an IED in Etsa, south of Fayoum.",EGYPT,FAYOUM,NA,TERRORISM,IED
2015-000104,2015-08-04 02:10:00,"CAIRO, OPSCENTER",Report Sent to Review,ABU HAMAD CITY,EGYPT,,2015-08-04 00:00:00,2015-08-04 00:00:00,,,"Unknown people open fire towards A Policeman in Abu Hamad City, Sharkia Governorate.",EGYPT,SHARQIA,ABU HAMMAD,TERRORISM,ARMED ATTACK
2015-000194,2015-08-27 11:12:00,"CAIRO, OPSCENTER",Report Sent to Review,MANFLOUT CITY,EGYPT,,2015-08-20 00:00:00,2015-08-20 00:00:00,OPEN SOURCE (ONLINE),,"A fire at Goods Train Manflout City, Assuit governorate",EGYPT,ASYUT,MANFALUT,HAZARD,NA
2015-000139,2015-08-13 06:31:00,"CAIRO, OPSCENTER",Report Sent to Review,THE GOVERNMENTAL COMPLEX IN DOWNTOWN,EGYPT,,2015-08-13 00:00:00,2015-08-13 00:00:00,OPEN SOURCE (ONLINE),,"A Homemade Bomb exploded at the Governmental complex in downtown, Fayoum Governorate.",EGYPT,FAYOUM,NA,TERRORISM,BOMBING (OTHER THAN IED)
2015-000264,2015-08-28 12:38:00,"DAVIS, JERRY",Report Sent to Review,BETWEEN RAFAH AND SHEIKH ZUWEID,EGYPT,,2015-08-13 00:00:00,2015-08-13 00:00:00,OPEN SOURCE (ONLINE),,"Egyptian Media outlets quoting security sources claimed that security forces arrested a group of militants travelling from Rafah to Sheikh Zuweid. The militants were reportedly driving a car loaded with weapons, and security forces found maps of local security facilities.",EGYPT,NORTH SINAI,NA,SECURITY FORCES,ARREST
2015-000170,2015-08-24 14:58:00,"CAIRO, OPSCENTER",Report Sent to Review,EDFINA ACUEDUCTO IN RASHID CITY,EGYPT,,2015-08-24 00:00:00,2015-08-24 00:00:00,OPEN SOURCE (ONLINE),,"A Bomb exploded near to a Police Bus near to Edfina Acueducto in Rashid City, Behira Governorate. .",EGYPT,BEHEIRA,NA,TERRORISM,SHOOTING
2015-000118,2015-08-08 03:10:00,"CAIRO, OPSCENTER",Report Sent to Review,(FAIYUM- CAIRO) DESERT ROAD,EGYPT,,2015-08-08 00:00:00,2015-08-08 00:00:00,OPEN SOURCE (ONLINE),,"An armed attack on a police car at (Faiyum- Cairo) Desert Road, Faiyum Governorate.",EGYPT,FAYOUM,NA,TERRORISM,ARMED ATTACK
2015-000221,2015-08-27 16:18:00,"BASURTO, JANET",Report Sent to Review,AL OBOUR,EGYPT,,2015-08-26 00:00:00,2015-08-26 00:00:00,,,Reports indicate that a gas pipe detonated in al-Arish al-Obour area. Casualties were reported.,EGYPT,NORTH SINAI,EL-ARISH,TERRORISM,BOMBING (OTHER THAN IED)
2015-000147,2015-08-16 14:04:00,"CAIRO, OPSCENTER",Report Sent to Review,EL SHIEKH ZOWAID AND RAFAH ROAD,EGYPT,,2015-08-16 00:00:00,2015-08-16 00:00:00,OPEN SOURCE (ONLINE),,"Police Forces defused sixteen bombs on EL Shiekh Zowaid and Rafah Road , North Sinai Governorate .",EGYPT,NORTH SINAI,SHEIKH ZUWAYYED,TERRORISM,BOMBING (OTHER THAN IED)
2015-000287,2015-08-28 14:39:00,"SIKE, OLIVIA",Report Sent to Review,INTERNATIONAL COASTAL ROAD BETWEEN SHIEH ZUWEID AND RAFAH,EGYPT,,2015-08-17 00:00:00,2015-08-17 00:00:00,OPEN SOURCE (ONLINE),,"Military claims to have dismantled ""16 IEDs""",EGYPT,NORTH SINAI,NA,TERRORISM,IED
2015-000275,2015-08-28 13:20:00,"DAVIS, JERRY",Report Sent to Review,NILE DELTA REGION,EGYPT,,2015-08-14 00:00:00,2015-08-14 00:00:00,OPEN SOURCE (ONLINE),,"Pro MB protest started in undisclosed location of Suez City. Similar protests have also been held in several villages in the Nile Delta, including: Mit Ghamr, Abu Kabir, Belkas and Minyat as-Siba.",EGYPT,SUEZ,NA,CIVIL UNREST,PROTEST
2015-000197,2015-08-27 12:29:00,"DAVIS, JERRY",Report Sent to Review,CAIRO-FAYOUM ROAD,EGYPT,,2015-08-03 00:00:00,2015-08-02 00:00:00,OPEN SOURCE (ONLINE),,"The daughter of a police major was killed in a shooting attack as she and her father drove along the Cairo-Fayoum highway. Gunmen fired on the vehicle near the village of Maimana, although the police major did not sustain injuries.",EGYPT,NA,NA,TERRORISM,NA
2015-000124,2015-08-10 09:52:00,"CAIRO, OPSCENTER",Report Sent to Review,HELIOPOLIS,EGYPT,,2015-08-10 00:00:00,2015-08-10 00:00:00,OPEN SOURCE (ONLINE),,"A Homemade Bomb exploded close to Heliopolis Court, Cairo.",EGYPT,CAIRO,NEW HELIOPOLIS CITY,TERRORISM,BOMBING (OTHER THAN IED)
2015-000099,2015-08-03 03:04:00,"CAIRO, OPSCENTER",Report Sent to Review,HARAM,EGYPT,,2015-08-03 00:00:00,2015-08-03 00:00:00,OPEN SOURCE (ONLINE),,"A massive fire in Chinese Cultural Center Theater El haram area, Giza Governorate.",EGYPT,GIZA,GIZA,HAZARD,NA
2015-000322,2015-08-28 17:10:00,"SIKE, OLIVIA",Report Sent to Review,EGYPT'S RAFAH,EGYPT,,2015-08-20 00:00:00,2015-08-20 00:00:00,OPEN SOURCE (ONLINE),,4 Palestinians were kidnapped after gunmen stopped their bus,EGYPT,NA,NA,CRIME,KIDNAPPING
2015-000152,2015-08-17 16:37:00,"CAIRO, OPSCENTER",Report Sent to Review,AL ARISH,EGYPT,,2015-08-15 00:00:00,2015-08-15 00:00:00,,,"Six bombs exploded and the policemen defused another Two bomb in AL Arish City , North Sinai .",EGYPT,NORTH SINAI,EL-ARISH,TERRORISM,IED
2015-000240,2015-08-27 18:03:00,"DAVIS, JERRY",Report Sent to Review,NUBAREYA'S ABU AL-MATAMER DISTRICT - 50 KM SOUTH OF ALEXANDRIA,EGYPT,,2015-08-11 00:00:00,2015-08-11 00:00:00,OPEN SOURCE (ONLINE),,"IED explodes near an electricity transformer in Nubareya's Abu al-Matamer district, more thank 50 km south of Alexandria. No casualties reported.",EGYPT,ALEXANDRIA,NA,TERRORISM,IED
2015-000273,2015-08-28 13:05:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-22 00:00:00,2015-08-22 00:00:00,OPEN SOURCE (ONLINE),,"Egyptian court sentenced MB spiritual guide Mohammed Badie to life in prison in the 'al-Arab police station riot' case. Badie, deputy MB leader Beltagy and 190 other MB members are being tried for the 2013 storming of the Arab police station in Port Said. Beltagy and 19 other defendants received life sentences.",EGYPT,CAIRO,NA,CIVIL UNREST,NA
2015-000266,2015-08-28 12:42:00,"BASURTO, JANET",Report Sent to Review,TAMIYYAH TOWN,EGYPT,,2015-08-23 00:00:00,2015-08-23 00:00:00,OPEN SOURCE (ONLINE),,"A police patrol came under fire from a passing vehicle in the town of Tamiyyah, located in the northern Fayoum Oasis. Three police injured.",EGYPT,FAYOUM,NA,TERRORISM,ARMED ATTACK
2015-000334,2015-08-30 15:02:00,"DAVIS, JERRY",Report Sent to Review,MOTORCADE OF FAYOUM SECURITY DIRECTOR - FAYOUM,EGYPT,,2015-08-29 00:00:00,2015-08-29 00:00:00,OPEN SOURCE (ONLINE),,"Reports indicate that an IED targeting the motorcade of the Fayoum security director exploded. Initial reports indicate there were no injuries in the IED attack, while conflicting reports claim several security personnel were wounded. Some sources have attributed the attack to the Revolutionary Punishment militant group.",EGYPT,FAYOUM,NA,TERRORISM,IED
2015-000323,2015-08-28 17:14:00,"SIKE, OLIVIA",Report Sent to Review,AL- ARISH,EGYPT,,2015-08-20 00:00:00,2015-08-20 00:00:00,OPEN SOURCE (ONLINE),,"A vehicle of ""Electricity and Supply Company"" was attacked",EGYPT,NA,NA,TERRORISM,ARMED ATTACK
2015-000265,2015-08-28 12:40:00,"DAVIS, JERRY",Report Sent to Review,,EGYPT,,2015-08-13 00:00:00,2015-08-13 00:00:00,OPEN SOURCE (ONLINE),,An IED reportedly exploded near the security directorate in Fayoum. Nearby buildings were lightly damaged and security forces reportedly evacuated the street.,EGYPT,FAYOUM,NA,TERRORISM,IED
2015-000308,2015-08-28 15:52:00,"SIKE, OLIVIA",Report Sent to Review,,EGYPT,,2015-08-18 00:00:00,2015-08-18 00:00:00,OPEN SOURCE (ONLINE),,two sound bombs detonated overnight,EGYPT,MENOUFIYA,SHEBIN EL-KOM,TERRORISM,BOMBING (OTHER THAN IED)
2015-000284,2015-08-28 14:18:00,"BASURTO, JANET",Report Sent to Review,AMERIYAH NEIGHBORHOOD,EGYPT,,2015-08-21 00:00:00,2015-08-21 00:00:00,OPEN SOURCE (ONLINE),,MB protests reportedly started in Alexandria's Awayed neighborhood. There are no reports of arrests.,EGYPT,ALEXANDRIA,NA,CIVIL UNREST,PROTEST
2015-000354,2015-09-01 02:27:00,"CAIRO, OPSCENTER",Report Sent to Review,AL-ARISH CITY,EGYPT,,2015-09-01 00:00:00,2015-08-01 00:00:00,OPEN SOURCE (ONLINE),,"SVBIED prevented in al-Arish, driver shot dead, 100s of kg of explosives found",EGYPT,NORTH SINAI,EL-ARISH,TERRORISM,SVBIED (SUICIDE CAR BOMB)
2015-000110,2015-08-06 13:25:00,"CAIRO, OPSCENTER",Report Sent to Review,"AL MAHDIA AREA, RAFAH CITY, SINAI.",EGYPT,,2015-08-06 00:00:00,2015-08-06 00:00:00,OPEN SOURCE (ONLINE),,"A Mortar fell down on A House in Al Mahdia area, Rafah city, Sinai.",EGYPT,NORTH SINAI,RAFAH,TERRORISM,SHOOTING
2015-000108,2015-08-05 15:49:00,"CAIRO, OPSCENTER",Report Sent to Review,EGYPT,EGYPT,,2015-08-05 00:00:00,2015-08-05 00:00:00,OPEN SOURCE (ONLINE),,"Report of Thursday 6th of Aug 2015:- - Council of Ministers announced that tomorrow ”Thursday 6/8/2015” will be official Off Day To celebrate the opening of the new Suez Canal Lane. - Strict security measures in most provinces especially the provinces of the Channel and North and South Sinai to prevent any disrupting events during the celebration” This may impede the entry or exit of persons and personal vehicles to and from the ceremony area”. - Tight security in all airports in Egypt, especially Cairo airport, where the arrival and departure of the guests of the celebration. - Descent expectations of large numbers of the Egyptian people to the streets of Cairo and other folders to celebrate, which may cause traffic jams in many areas especially public squares.",EGYPT,NA,NA,MAJOR POLITICAL EVENT,NA
